jARA-SWT-01	10.12.3.2	TSP2446ABKN TSP2440AFNS
RBR-SWT-01 10.53.3.2	TSP2443ACDD TSP2443ACDC TSP2440AGSD
RBR-SWT-02	10.53.200.100	CN0MM39Y282986A50327A03
RJS-SWT-01	10.48.3.2	TSP2417ABUC TSP2446ABKJ TSP2446ABMM TSP2443ACFC
RON-SWT-01	10.42.3.1	TSP2439ABLJ TSP2443ACFJ
RON-SWT-DSC	10.42.200.200	CN0D559K282982AQ030
RVD-SWT-01	10.66.3.1	TSP2418AALC TSP2446ABMN
SAN-SWT-01	10.39.3.2	TSP2446ABNC TSP2418AAKT
SAN-SWT-04	10.39.200.200	CN0D559K2829828D035
SBT-SWT-01	10.64.3.2	N/A
SJC-SWT-01	10.17.3.2	TSP2440AFML FJC24451F0L
SJC-SWT-03	10.17.200.200	CN0D559K2829827A044
SJP-SWT-01	10.34.3.2	TSP2439ABLM TSP2440AFNN TSP2443ABZJ
SOR-SWT-CORE	10.18.3.2	TSP2446ABMU TSP2439ABLH
SOR-SWT-MONIT-01	10.18.200.200	CN0D559K2829828D038
SOR-SWT-MONIT-02	10.18.200.201	CN0D559K2829829Q026
SRA-SW-01	10.73.3.2	TSP2446ABMJ FCW2224C0KB
SRA-SW-DSC-01	10.73.3.3	TSP2430ACJK
STA-SWT-01	10.29.3.2	TSP2446ABKB TSP2443ACBU
STO-SWT-CORE	10.11.3.2	TSP2428ABBZ TSP2446ABLL TSP2440AFNK TSP2430ACDP
UBE-SWT-CORE	10.50.3.2	TSP2417ABSU
UBE-SWT-DSC-01	10.50.3.3	TSP2440AFFU
VGA-SWT-CORE	10.72.3.2	TSP2418AATD TSP2418AAHU
VGA-SWT-DSC	10.72.3.3	TSP2440AFFT
VLN-SWT-01	10.56.3.2	TSP2443ACBZ TSP2439ABLP
VRD-SWT-01	10.26.3.2	TSP2443ACCG TSP2439ABLG TSP2439ABHC
VTR-SWT-01	10.75.3.2	FOC1615Z3UP
